epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,18536.5,1.27757,0.95918,0.9655,0.19876,0.04977,0.02677,0.01064,1.86773,1.60261,0.70534,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,18755,1.27723,0.95766,0.96825,0.1995,0.05004,0.02677,0.01066,1.86639,1.60262,0.7049,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,18973.6,1.26438,0.95532,0.96938,0.19947,0.05012,0.02677,0.01067,1.86589,1.60138,0.70473,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,19192.4,1.27187,0.95461,0.96502,0.19936,0.05018,0.02681,0.01068,1.86619,1.60137,0.70476,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,19411.1,1.2812,0.95685,0.9655,0.19932,0.05029,0.02678,0.01069,1.86867,1.60552,0.70588,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,19630.4,1.26657,0.94618,0.9643,0.19978,0.05003,0.02677,0.01069,1.87046,1.60677,0.70673,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,19849.1,1.27382,0.95598,0.96566,0.1998,0.05023,0.02679,0.0107,1.87204,1.60733,0.70745,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,20063,1.76469,1.31517,0.98927,0.20001,0.05029,0.02687,0.01073,1.86836,1.60429,0.70642,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,20277.3,1.75156,1.27408,0.98003,0.20023,0.05019,0.02691,0.01076,1.86408,1.59999,0.70522,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,20491.1,1.75539,1.2651,0.97985,0.20033,0.05023,0.02699,0.0108,1.86079,1.59749,0.70389,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,20705.3,1.7407,1.26187,0.98051,0.20059,0.05031,0.02703,0.01082,1.8579,1.59677,0.70274,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,20919.4,1.73803,1.25742,0.97905,0.20087,0.05048,0.02706,0.01085,1.85482,1.59719,0.70149,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,21133.6,1.74231,1.25732,0.97834,0.20056,0.05042,0.02706,0.0109,1.85184,1.59749,0.70013,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,21347,1.74151,1.25252,0.97559,0.20045,0.05046,0.0271,0.0109,1.8498,1.59817,0.69924,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,21561.4,1.74701,1.24781,0.97475,0.20071,0.0506,0.0272,0.01092,1.8481,1.59894,0.69878,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,21774.9,1.73516,1.24451,0.97699,0.20091,0.05066,0.02715,0.01091,1.84693,1.5996,0.69842,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,21988.4,1.72992,1.24438,0.97586,0.20123,0.05081,0.02713,0.01093,1.84567,1.60057,0.69818,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
